Review_ID,Student_ID,Course_ID,Mentor_ID,Review_Text,Course_Name,Mentor_Name,Engagement,Difficulty,Relevance,Expertise
R001,S118,C002,M002,The course lacked structure and was hard to follow.,Data Science Fundamentals,Prof. S. Mehta,Low,Difficult,Low,Intermediate
R002,S128,C001,M001,"Too theoretical, needs more practical examples.",Python for Beginners,Dr. A. Kumar,Low,Easy,Low,Expert
R003,S113,C005,M004,"Too theoretical, needs more practical examples.",Deep Learning Advanced,Mr. L. Das,Low,Moderate,High,Beginner
R004,S111,C004,M003,"The course was okay, but could use more real-world examples.",Machine Learning Basics,Ms. R. Sharma,Medium,Easy,Low,Expert
R005,S107,C003,M003,"The course was okay, but could use more real-world examples.",Web Development,Ms. R. Sharma,High,Moderate,Low,Expert
R006,S125,C001,M005,Very basic and not engaging enough.,Python for Beginners,Dr. V. Rao,Medium,Difficult,High,Expert
R007,S105,C001,M002,"Good, but not much interaction from the mentor.",Python for Beginners,Prof. S. Mehta,Medium,Easy,Low,Intermediate
R008,S141,C003,M002,Highly recommended! The course structure is great.,Web Development,Prof. S. Mehta,Medium,Moderate,Low,Intermediate
R009,S144,C001,M005,I didn’t learn as much as I expected.,Python for Beginners,Dr. V. Rao,High,Easy,High,Expert
R010,S125,C003,M005,Mentor did not respond to questions effectively.,Web Development,Dr. V. Rao,Low,Difficult,Medium,Expert
R011,S121,C004,M003,Excellent teaching style and very interactive sessions.,Machine Learning Basics,Ms. R. Sharma,Low,Easy,High,Expert
R012,S132,C004,M004,I didn’t learn as much as I expected.,Machine Learning Basics,Mr. L. Das,Low,Moderate,Low,Beginner
R013,S148,C005,M004,Mentor was very supportive and responded quickly.,Deep Learning Advanced,Mr. L. Das,High,Moderate,Medium,Beginner
R014,S106,C001,M001,Excellent teaching style and very interactive sessions.,Python for Beginners,Dr. A. Kumar,Low,Difficult,Low,Expert
R015,S125,C004,M005,Very basic and not engaging enough.,Machine Learning Basics,Dr. V. Rao,Medium,Difficult,Medium,Expert
R016,S108,C005,M003,The course lacked structure and was hard to follow.,Deep Learning Advanced,Ms. R. Sharma,High,Moderate,Low,Expert
R017,S101,C003,M005,"Some topics were covered in depth, others were rushed.",Web Development,Dr. V. Rao,Low,Difficult,Low,Expert
R018,S133,C005,M002,I didn’t learn as much as I expected.,Deep Learning Advanced,Prof. S. Mehta,Low,Moderate,Low,Intermediate
R019,S139,C003,M004,"Too theoretical, needs more practical examples.",Web Development,Mr. L. Das,Low,Easy,Medium,Beginner
R020,S137,C001,M001,Mentor explained well but the pace was a bit slow.,Python for Beginners,Dr. A. Kumar,High,Moderate,Low,Expert
R021,S131,C005,M002,Mentor did not respond to questions effectively.,Deep Learning Advanced,Prof. S. Mehta,Medium,Difficult,High,Intermediate
R022,S149,C002,M003,Mentor explained well but the pace was a bit slow.,Data Science Fundamentals,Ms. R. Sharma,Medium,Difficult,High,Expert
R023,S129,C001,M002,"Some topics were covered in depth, others were rushed.",Python for Beginners,Prof. S. Mehta,Low,Easy,Medium,Intermediate
R024,S138,C002,M001,Mentor was very supportive and responded quickly.,Data Science Fundamentals,Dr. A. Kumar,Low,Difficult,High,Expert
R025,S103,C003,M001,Excellent teaching style and very interactive sessions.,Web Development,Dr. A. Kumar,High,Easy,Medium,Expert
