Review_ID,Student_ID,Course_ID,Mentor_ID,Review_Text,Course_Name,Mentor_Name,Engagement,Difficulty,Relevance,Expertise,Processed_Review,Sentiment,Estimated_Rating
R001,S118,C002,M002,The course lacked structure and was hard to follow.,Data Science Fundamentals,Prof. S. Mehta,Low,Difficult,Low,Intermediate,course lacked structure hard follow,Negative,1
R002,S128,C001,M001,"Too theoretical, needs more practical examples.",Python for Beginners,Dr. A. Kumar,Low,Easy,High,Expert,theoretical need practical example,Positive,4
R003,S113,C005,M004,"Too theoretical, needs more practical examples.",Deep Learning Advanced,Mr. L. Das,Low,Moderate,High,Beginner,theoretical need practical example,Neutral,3
R004,S111,C004,M003,"The course was okay, but could use more real-world examples.",Machine Learning Basics,Ms. R. Sharma,Medium,Easy,Low,Expert,course okay could use realworld example,Positive,4
R005,S107,C003,M003,"The course was okay, but could use more real-world examples.",Web Development,Ms. R. Sharma,High,Moderate,Low,Expert,course okay could use realworld example,Positive,4
R006,S125,C001,M005,Very basic and not engaging enough.,Python for Beginners,Dr. V. Rao,Medium,Difficult,High,Expert,basic engaging enough,Neutral,3
R007,S105,C001,M002,"Good, but not much interaction from the mentor.",Python for Beginners,Prof. S. Mehta,Medium,Easy,Low,Intermediate,good much interaction mentor,Positive,4
R008,S141,C003,M002,Highly recommended! The course structure is great.,Web Development,Prof. S. Mehta,Medium,Moderate,Low,Intermediate,highly recommended course structure great,Positive,4
R009,S144,C001,M005,I didn’t learn as much as I expected.,Python for Beginners,Dr. V. Rao,High,Easy,High,Expert,didnt learn much expected,Neutral,3
R010,S125,C003,M005,Mentor did not respond to questions effectively.,Web Development,Dr. V. Rao,Low,Difficult,Medium,Expert,mentor respond question effectively,Positive,4
R011,S121,C004,M003,Excellent teaching style and very interactive sessions.,Machine Learning Basics,Ms. R. Sharma,Low,Easy,High,Expert,excellent teaching style interactive session,Positive,4
R012,S132,C004,M004,I didn’t learn as much as I expected.,Machine Learning Basics,Mr. L. Das,Low,Moderate,Low,Beginner,didnt learn much expected,Neutral,3
R013,S148,C005,M004,Mentor was very supportive and responded quickly.,Deep Learning Advanced,Mr. L. Das,High,Moderate,Medium,Beginner,mentor supportive responded quickly,Positive,4
R014,S106,C001,M001,Excellent teaching style and very interactive sessions.,Python for Beginners,Dr. A. Kumar,Low,Difficult,Low,Expert,excellent teaching style interactive session,Positive,4
R015,S125,C004,M005,Very basic and not engaging enough.,Machine Learning Basics,Dr. V. Rao,Medium,Difficult,Medium,Expert,basic engaging enough,Neutral,3
R016,S108,C005,M003,The course lacked structure and was hard to follow.,Deep Learning Advanced,Ms. R. Sharma,High,Moderate,Low,Expert,course lacked structure hard follow,Negative,1
