Review_ID,Student_ID,Course_ID,Mentor_ID,Review_Text,Course_Name,Mentor_Name,Engagement,Difficulty,Relevance,Expertise,Processed_Review
R001,S118,C002,M002,The course lacked structure and was hard to follow.,Data Science Fundamentals,Prof. S. Mehta,Low,Difficult,Low,Intermediate,course lacked structure hard follow
R002,S128,C001,M001,"Too theoretical, needs more practical examples.",Python for Beginners,Dr. A. Kumar,Low,Easy,Low,Expert,theoretical need practical example
R003,S113,C005,M004,"Too theoretical, needs more practical examples.",Deep Learning Advanced,Mr. L. Das,Low,Moderate,High,Beginner,theoretical need practical example
R004,S111,C004,M003,"The course was okay, but could use more real-world examples.",Machine Learning Basics,Ms. R. Sharma,Medium,Easy,Low,Expert,course okay could use realworld example
R005,S107,C003,M003,"The course was okay, but could use more real-world examples.",Web Development,Ms. R. Sharma,High,Moderate,Low,Expert,course okay could use realworld example
R006,S125,C001,M005,Very basic and not engaging enough.,Python for Beginners,Dr. V. Rao,Medium,Difficult,High,Expert,basic engaging enough
R007,S105,C001,M002,"Good, but not much interaction from the mentor.",Python for Beginners,Prof. S. Mehta,Medium,Easy,Low,Intermediate,good much interaction mentor
R008,S141,C003,M002,Highly recommended! The course structure is great.,Web Development,Prof. S. Mehta,Medium,Moderate,Low,Intermediate,highly recommended course structure great
R009,S144,C001,M005,I didn’t learn as much as I expected.,Python for Beginners,Dr. V. Rao,High,Easy,High,Expert,didnt learn much expected
R010,S125,C003,M005,Mentor did not respond to questions effectively.,Web Development,Dr. V. Rao,Low,Difficult,Medium,Expert,mentor respond question effectively
R011,S121,C004,M003,Excellent teaching style and very interactive sessions.,Machine Learning Basics,Ms. R. Sharma,Low,Easy,High,Expert,excellent teaching style interactive session
R012,S132,C004,M004,I didn’t learn as much as I expected.,Machine Learning Basics,Mr. L. Das,Low,Moderate,Low,Beginner,didnt learn much expected
R013,S148,C005,M004,Mentor was very supportive and responded quickly.,Deep Learning Advanced,Mr. L. Das,High,Moderate,Medium,Beginner,mentor supportive responded quickly
R014,S106,C001,M001,Excellent teaching style and very interactive sessions.,Python for Beginners,Dr. A. Kumar,Low,Difficult,Low,Expert,excellent teaching style interactive session
R015,S125,C004,M005,Very basic and not engaging enough.,Machine Learning Basics,Dr. V. Rao,Medium,Difficult,Medium,Expert,basic engaging enough
R016,S108,C005,M003,The course lacked structure and was hard to follow.,Deep Learning Advanced,Ms. R. Sharma,High,Moderate,Low,Expert,course lacked structure hard follow
R017,S101,C003,M005,"Some topics were covered in depth, others were rushed.",Web Development,Dr. V. Rao,Low,Difficult,Low,Expert,topic covered depth others rushed
R018,S133,C005,M002,I didn’t learn as much as I expected.,Deep Learning Advanced,Prof. S. Mehta,Low,Moderate,Low,Intermediate,didnt learn much expected
R019,S139,C003,M004,"Too theoretical, needs more practical examples.",Web Development,Mr. L. Das,Low,Easy,Medium,Beginner,theoretical need practical example
R020,S137,C001,M001,Mentor explained well but the pace was a bit slow.,Python for Beginners,Dr. A. Kumar,High,Moderate,Low,Expert,mentor explained well pace bit slow
R021,S131,C005,M002,Mentor did not respond to questions effectively.,Deep Learning Advanced,Prof. S. Mehta,Medium,Difficult,High,Intermediate,mentor respond question effectively
R022,S149,C002,M003,Mentor explained well but the pace was a bit slow.,Data Science Fundamentals,Ms. R. Sharma,Medium,Difficult,High,Expert,mentor explained well pace bit slow
R023,S129,C001,M002,"Some topics were covered in depth, others were rushed.",Python for Beginners,Prof. S. Mehta,Low,Easy,Medium,Intermediate,topic covered depth others rushed
R024,S138,C002,M001,Mentor was very supportive and responded quickly.,Data Science Fundamentals,Dr. A. Kumar,Low,Difficult,High,Expert,mentor supportive responded quickly
R025,S103,C003,M001,Excellent teaching style and very interactive sessions.,Web Development,Dr. A. Kumar,High,Easy,Medium,Expert,excellent teaching style interactive session
R026,S109,C005,M005,Very basic and not engaging enough.,Deep Learning Advanced,Dr. V. Rao,Medium,Easy,Medium,Expert,basic engaging enough
R027,S143,C004,M003,Mentor explained well but the pace was a bit slow.,Machine Learning Basics,Ms. R. Sharma,Medium,Moderate,Medium,Expert,mentor explained well pace bit slow
R028,S142,C001,M001,The course lacked structure and was hard to follow.,Python for Beginners,Dr. A. Kumar,Medium,Difficult,Medium,Expert,course lacked structure hard follow
R029,S135,C004,M002,Excellent teaching style and very interactive sessions.,Machine Learning Basics,Prof. S. Mehta,Medium,Easy,Medium,Intermediate,excellent teaching style interactive session
R030,S105,C004,M005,Mentor explained well but the pace was a bit slow.,Machine Learning Basics,Dr. V. Rao,Low,Easy,High,Expert,mentor explained well pace bit slow
R031,S149,C002,M002,The course lacked structure and was hard to follow.,Data Science Fundamentals,Prof. S. Mehta,Medium,Moderate,Medium,Intermediate,course lacked structure hard follow
R032,S111,C004,M001,Highly recommended! The course structure is great.,Machine Learning Basics,Dr. A. Kumar,Medium,Moderate,Medium,Expert,highly recommended course structure great
R033,S147,C005,M004,"Some topics were covered in depth, others were rushed.",Deep Learning Advanced,Mr. L. Das,Low,Easy,Medium,Beginner,topic covered depth others rushed
R034,S135,C001,M003,The course content was very informative and the mentor explained clearly.,Python for Beginners,Ms. R. Sharma,Low,Easy,High,Expert,course content informative mentor explained clearly
R035,S134,C002,M001,"Good, but not much interaction from the mentor.",Data Science Fundamentals,Dr. A. Kumar,High,Easy,Low,Expert,good much interaction mentor
R036,S116,C004,M001,Mentor was very supportive and responded quickly.,Machine Learning Basics,Dr. A. Kumar,High,Easy,High,Expert,mentor supportive responded quickly
R037,S127,C005,M005,The course lacked structure and was hard to follow.,Deep Learning Advanced,Dr. V. Rao,High,Moderate,Medium,Expert,course lacked structure hard follow
R038,S126,C002,M003,Loved the examples and the mentor’s expertise really shows.,Data Science Fundamentals,Ms. R. Sharma,Medium,Moderate,Low,Expert,loved example mentor expertise really show
R039,S137,C001,M001,Highly recommended! The course structure is great.,Python for Beginners,Dr. A. Kumar,High,Easy,High,Expert,highly recommended course structure great
R040,S105,C002,M003,Mentor explained well but the pace was a bit slow.,Data Science Fundamentals,Ms. R. Sharma,Medium,Easy,Medium,Expert,mentor explained well pace bit slow
