Review_ID,Student_ID,Course_ID,Mentor_ID,Review_Text,Sentiment,Course_Name,Mentor_Name,Rating,Engagement,Difficulty,Relevance,Expertise
R001,S118,C002,M002,The course lacked structure and was hard to follow.,Negative,Data Science Fundamentals,Prof. S. Mehta,1,Low,Difficult,Low,Intermediate
R002,S128,C001,M001,"Too theoretical, needs more practical examples.",Negative,Python for Beginners,Dr. A. Kumar,1.1,Low,Easy,Low,Expert
R003,S113,C005,M004,"Too theoretical, needs more practical examples.",Negative,Deep Learning Advanced,Mr. L. Das,1,Low,Moderate,High,Beginner
R004,S111,C004,M003,"The course was okay, but could use more real-world examples.",Neutral,Machine Learning Basics,Ms. R. Sharma,3.6,Medium,Easy,Low,Expert
R005,S107,C003,M003,"The course was okay, but could use more real-world examples.",Neutral,Web Development,Ms. R. Sharma,2.6,High,Moderate,Low,Expert
R006,S125,C001,M005,Very basic and not engaging enough.,Negative,Python for Beginners,Dr. V. Rao,1.8,Medium,Difficult,High,Expert
R007,S105,C001,M002,"Good, but not much interaction from the mentor.",Neutral,Python for Beginners,Prof. S. Mehta,2.8,Medium,Easy,Low,Intermediate
R008,S141,C003,M002,Highly recommended! The course structure is great.,Positive,Web Development,Prof. S. Mehta,4.3,Medium,Moderate,Low,Intermediate
R009,S144,C001,M005,I didn’t learn as much as I expected.,Negative,Python for Beginners,Dr. V. Rao,2,High,Easy,High,Expert
R010,S125,C003,M005,Mentor did not respond to questions effectively.,Negative,Web Development,Dr. V. Rao,1.2,Low,Difficult,Medium,Expert
R011,S121,C004,M003,Excellent teaching style and very interactive sessions.,Positive,Machine Learning Basics,Ms. R. Sharma,4.8,Low,Easy,High,Expert
R012,S132,C004,M004,I didn’t learn as much as I expected.,Negative,Machine Learning Basics,Mr. L. Das,1.3,Low,Moderate,Low,Beginner
R013,S148,C005,M004,Mentor was very supportive and responded quickly.,Positive,Deep Learning Advanced,Mr. L. Das,4.5,High,Moderate,Medium,Beginner
